player_name,club,league,season,games_played,minutes_played,goals,xg,assists,xa,shots,key_passes,yellow_cards,red_cards,non_penalty_goals,npxg,xg_per90,xa_per90,npxg_per90
William Osula,Newcastle United,epl,2024,14,107,1,0.2826921939849853,0,0.1338628381490707,4,2,0,0,1,0.2826921939849853,0.238,0.113,0.238
Willian José,Spartak Moscow,rfpl,2024,7,107,0,0.3821606375277042,0,0.6900649070739746,7,3,0,0,0,0.3821606375277042,0.321,0.58,0.321
Nobel Mendy,Real Betis,la_liga,2024,2,105,0,0.0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0
Gonzalo Montiel,Sevilla,la_liga,2024,6,103,0,0.0696412846446037,0,0.0,1,0,1,0,0,0.0696412846446037,0.061,0.0,0.061
Rodrigo Ruiz Díaz,FK Akhmat,rfpl,2024,11,103,0,0.6365345530211926,0,0.0888804420828819,4,1,0,0,0,0.6365345530211926,0.556,0.078,0.556
Tyrell Malacia,Manchester United,epl,2024,3,102,0,0.0,0,0.0620109774172306,0,1,1,0,0,0.0,0.0,0.055,0.0
Kingstone Mutandwa,Cagliari,serie_a,2024,6,102,0,0.2073217704892158,0,0.0,4,0,0,0,0,0.2073217704892158,0.183,0.0,0.183
Joel Fameyeh,Rubin Kazan,rfpl,2024,3,101,1,0.7978295087814331,0,0.0,2,0,0,0,0,0.043554164469242,0.711,0.0,0.039
Karim Onisiwo,Mainz 05,bundesliga,2024,6,101,0,0.1030287221074104,0,0.3602398335933685,3,1,0,0,0,0.1030287221074104,0.092,0.321,0.092
José Arnáiz,Osasuna,la_liga,2024,15,100,0,0.3046903256326914,0,0.444795599207282,6,3,0,0,0,0.3046903256326914,0.274,0.4,0.274
Dmitri Aleksandrov,Dinamo Moscow,rfpl,2024,6,100,0,0.0376953668892383,0,0.0229725521057844,2,1,1,0,0,0.0376953668892383,0.034,0.021,0.034
Jeremy Le Douaron,Brest,ligue_1,2024,2,99,0,0.4151886440813541,0,0.0,2,0,0,0,0,0.4151886440813541,0.377,0.0,0.377
Ognjen Mimovic,Zenit St. Petersburg,rfpl,2024,4,99,0,0.4827698469161987,0,0.0,2,0,1,0,0,0.4827698469161987,0.439,0.0,0.439
Lucas Michal,Monaco,ligue_1,2024,8,98,0,0.3729779087007046,0,0.8126267194747925,3,1,0,0,0,0.3729779087007046,0.343,0.746,0.343
Samuel Iling-Junior,Bologna,serie_a,2024,7,98,1,0.1766015514731407,0,0.0679608359932899,4,1,0,0,1,0.1766015514731407,0.162,0.062,0.162
Marc Cardona,Las Palmas,la_liga,2024,11,98,0,0.2827252447605133,0,0.0,4,0,2,0,0,0.2827252447605133,0.26,0.0,0.26
Ali Al-Hamadi,Ipswich,epl,2024,11,98,0,0.5323996320366859,0,0.0784954708069562,4,2,3,0,0,0.5323996320366859,0.489,0.072,0.489
Pelayo Fernández,Rayo Vallecano,la_liga,2024,2,97,0,0.0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0
Valentín Carboni,Marseille,ligue_1,2024,4,97,0,0.0491521507501602,0,0.1342877671122551,2,3,1,0,0,0.0491521507501602,0.046,0.125,0.046
Simone Verdi,Como,serie_a,2024,9,97,0,0.066993904300034,0,0.4079585280269384,2,6,1,0,0,0.066993904300034,0.062,0.379,0.062
Nikita Vasilyev,Rubin Kazan,rfpl,2024,3,96,0,0.0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0
