team,player,position,age,caps,goals,club,intl_xg_per_shot,weighted_shots,club_npxg_per90,market_value_m,club_form_estimated,intl_xg_norm,club_form_norm,experience_norm,value_norm,composite_score
South Africa,Relebohile Mofokeng,Forward,21,12,0,Orlando Pirates,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.08,0.0,0.09
Curaçao,Livano Comenencia,Midfielder,22,19,1,Zürich,0.0,0.0,0.155,0.8,True,0.0,0.1033,0.1267,0.1108,0.0896
Cape Verde,Gilson Benchimol,Forward,24,22,6,Akron Tolyatti,0.0,6.0,0.337,0.0,False,0.0,0.2247,0.1467,0.0,0.0894
Czech Republic,Tomáš Holeš,Defender,33,41,2,Slavia Prague,0.0,1.0,0.0735,0.0,True,0.0,0.049,0.2733,0.0,0.0893
Egypt,Mohamed Hany,Defender,30,41,0,Al Ahly,0.0,1.0,0.0735,0.0,True,0.0,0.049,0.2733,0.0,0.0893
Panama,Azarias Londoño,Forward,24,11,0,Universidad Católica,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0733,0.0,0.089
Algeria,Adil Boulbina,Forward,23,11,6,Al-Duhail,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0733,0.0,0.089
New Zealand,Jesse Randall,Forward,23,11,2,Auckland FC,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0733,0.0,0.089
Iraq,Marko Farji,Forward,22,11,0,Venezia,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0733,0.0,0.089
Uruguay,Federico Viñas,Forward,27,11,2,Oviedo,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0733,0.0,0.089
Mexico,Alexis Vega,Forward,28,52,7,Toluca,0.0,0.0,0.182,0.0,False,0.0,0.1213,0.3467,0.0,0.0884
Saudi Arabia,Nasser Al-Dawsari,Midfielder,27,43,0,Al-Hilal,0.0,0.0,0.155,0.0,True,0.0,0.1033,0.2867,0.0,0.0883
Bosnia and Herzegovina,Haris Tabaković,Forward,31,10,4,Borussia Mönchengladbach,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0667,0.0,0.088
Bosnia and Herzegovina,Kerim Alajbegović,Forward,18,10,1,Red Bull Salzburg,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0667,0.0,0.088
Qatar,Mohamed Manai,Forward,23,10,0,Al-Shamal,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0667,0.0,0.088
Brazil,Léo Pereira,Defender,30,3,0,Flamengo,0.0,0.0,0.0735,1.2,True,0.0,0.049,0.02,0.1487,0.0877
Cape Verde,Laros Duarte,Midfielder,29,13,1,Puskás Akadémia,0.0,0.0,0.155,1.0,True,0.0,0.1033,0.0867,0.1307,0.0875
Panama,César Blackman,Defender,28,40,3,Slovan Bratislava,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.2667,0.0,0.0874
Uzbekistan,Khojiakbar Alijonov,Defender,29,40,2,Pakhtakor,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.2667,0.0,0.0874
Japan,Kō Itakura,Defender,29,40,2,Ajax,0.0,0.0,0.0735,0.0,True,0.0,0.049,0.2667,0.0,0.0874
South Africa,Thapelo Maseko,Forward,22,9,1,AEL Limassol,0.0,2.0,0.3899,0.0,True,0.0,0.2599,0.06,0.0,0.087
Colombia,Jaminton Campaz,Forward,26,9,1,Rosario Central,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.06,0.0,0.087
Jordan,Odeh Al-Fakhouri,Forward,20,9,1,Pyramids,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.06,0.0,0.087
South Africa,Tshepang Moremi,Forward,25,9,1,Orlando Pirates,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.06,0.0,0.087
Tunisia,Aymen Dahmen,Goalkeeper,29,37,0,CS Sfaxien,0.0,0.0,0.002,0.0,True,0.0,0.0013,0.2467,0.0,0.0865
Curaçao,Ar'jany Martha,Midfielder,22,8,2,Rotherham United,0.0,0.0,0.155,1.2,True,0.0,0.1033,0.0533,0.1487,0.0863
Ghana,Brandon Thomas-Asante,Forward,27,8,1,Coventry City,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0533,0.0,0.086
Curaçao,Godfried Roemeratoe,Midfielder,26,27,1,RKC Waalwijk,0.0,0.0,0.155,0.4,True,0.0,0.1033,0.18,0.0634,0.086
Croatia,Igor Matanović,Forward,23,8,2,SC Freiburg,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0533,0.0,0.086
Tunisia,Anis Ben Slimane,Midfielder,25,41,4,Norwich City,0.0,3.7,0.155,0.0,True,0.0,0.1033,0.2733,0.0,0.0856
DR Congo,Brian Cipenga,Forward,28,7,0,Castellón,0.0,0.0,0.3899,0.0,True,0.0,0.2599,0.0467,0.0,0.085
